"fare_id","route_id","origin_id","destination_id","contains_id"
"Ônibus","6015-10","","",""
"Ônibus","6016-10","","",""
"Ônibus","6016-41","","",""
"Ônibus","6017-10","","",""
"Ônibus","6019-10","","",""
"Ônibus","6020-10","","",""
"Ônibus","6020-51","","",""
"Ônibus","6021-10","","",""
"Ônibus","6022-10","","",""
"Ônibus","6026-10","","",""
"Ônibus","6027-10","","",""
"Ônibus","6028-10","","",""
"Ônibus","6030-10","","",""
"Ônibus","6031-10","","",""
"Ônibus","6034-10","","",""
"Ônibus","6035-10","","",""
"Ônibus","6035-21","","",""
"Ônibus","6036-10","","",""
"Ônibus","6036-51","","",""
"Ônibus","6037-10","","",""
"Ônibus","6039-10","","",""
"Ônibus","6039-21","","",""
"Ônibus","6041-10","","",""
"Ônibus","6041-21","","",""
"Ônibus","6042-10","","",""
"Ônibus","6042-21","","",""
"Ônibus","6042-22","","",""
"Ônibus","6043-10","","",""
"Ônibus","6044-10","","",""
"Ônibus","6045-10","","",""
"Ônibus","6045-21","","",""
"Ônibus","6046-10","","",""
"Ônibus","6047-10","","",""
"Ônibus","6048-10","","",""
"Ônibus","6049-10","","",""
"Ônibus","6050-10","","",""
"Ônibus","6051-10","","",""
"Ônibus","6051-31","","",""
"Ônibus","6052-10","","",""
"Ônibus","6052-31","","",""
"Ônibus","6053-10","","",""
"Ônibus","6055-10","","",""
"Ônibus","6056-10","","",""
"Ônibus","6057-10","","",""
"Ônibus","6058-10","","",""
"Ônibus","6059-10","","",""
"Ônibus","605A-10","","",""
"Ônibus","6061-10","","",""
"Ônibus","6062-10","","",""
"Ônibus","6062-51","","",""
"Ônibus","6063-10","","",""
"Ônibus","6063-21","","",""
"Ônibus","6063-41","","",""
"Ônibus","6063-42","","",""
"Ônibus","6063-43","","",""
"Ônibus","6069-10","","",""
"Ônibus","606C-10","","",""
"Ônibus","606Y-10","","",""
"Ônibus","6071-10","","",""
"Ônibus","6072-10","","",""
"Ônibus","6072-21","","",""
"Ônibus","6072-23","","",""
"Ônibus","6073-10","","",""
"Ônibus","6074-10","","",""
"Ônibus","6075-10","","",""
"Ônibus","6076-10","","",""
"Ônibus","6076-41","","",""
"Ônibus","6078-10","","",""
"Ônibus","607A-10","","",""
"Ônibus","607A-21","","",""
"Ônibus","607C-10","","",""
"Ônibus","607M-10","","",""
"Ônibus","6080-10","","",""
"Ônibus","6083-10","","",""
"Ônibus","6084-10","","",""
"Ônibus","6091-10","","",""
"Ônibus","6091-21","","",""
"Ônibus","6091-51","","",""
"Ônibus","6092-10","","",""
"Ônibus","6093-10","","",""
"Ônibus","6099-10","","",""
"Ônibus","609F-10","","",""
"Ônibus","609F-21","","",""
"Ônibus","609J-10","","",""
"Ônibus","6110-10","","",""
"Ônibus","6115-10","","",""
"Ônibus","6115-41","","",""
"Ônibus","6116-10","","",""
"Ônibus","6118-10","","",""
"Ônibus","6120-10","","",""
"Ônibus","6200-10","","",""
"Ônibus","6232-10","","",""
"Ônibus","6250-10","","",""
"Ônibus","6258-10","","",""
"Ônibus","6258-31","","",""
"Ônibus","6262-10","","",""
"Ônibus","626A-10","","",""
"Ônibus","627J-10","","",""
"Ônibus","627M-10","","",""
